protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
-126,-13,-147,-296,-212,-124,-191,-84,-1193
-19,-22,-36,-46,-75,-14,-21,4,-229
-29,-1,-8,-43,-36,-11,-30,0,-158
-8,28,-50,-86,-106,-39,-66,9,-318
11,-2,2,-42,-49,-41,-71,28,-164
-21,-8,-57,-76,-62,-31,-49,-5,-309
-42,10,-42,-91,-122,-30,-55,14,-358
3,1,-18,-75,-60,-74,-44,-10,-277
47,9,-7,-38,-149,-86,-63,18,-269
-29,-15,-22,-67,-71,-49,-63,3,-313
15,-5,-29,-62,-64,-64,-58,-16,-283
61,86,29,30,2,-25,-74,77,186
-37,-8,-44,-70,-49,-68,-78,-21,-375
10,9,-19,-2,-1,-13,-16,-4,-36
20,-3,-34,-55,-65,-9,-54,14,-186
-8,-22,-17,-47,-53,-37,-27,1,-210
0,-13,-16,-77,-81,-105,-78,-9,-379
-9,-4,-11,-23,-63,-19,-24,-2,-155
-53,-17,-39,-67,-64,-17,-47,-39,-343
8,-13,-4,-35,-121,-67,-73,-26,-331
-7,5,-24,-49,-35,-30,-27,-12,-179
-8,-12,-31,-78,-144,-88,-90,-34,-485
-5,-5,-14,-49,-62,-27,-21,15,-168
3,-9,-20,-37,-78,-44,-44,-36,-265
-9,19,-29,-48,-54,-21,-62,-15,-219
-11,-2,-17,-38,-49,-26,-39,-3,-185
-18,-10,-18,-42,-55,-3,-13,21,-138
3,-5,-30,-15,-78,-13,-48,7,-179
-15,23,-42,-97,-109,-75,-73,-40,-428
-3,9,-1,-16,-35,-11,-16,-5,-78
-27,32,-18,-40,-4,-17,-33,1,-106
2,15,-39,-64,-30,-37,-61,36,-178
1,-20,-18,-44,-123,-20,-57,-12,-293
9,33,-10,-27,-66,-14,-20,45,-50
25,-29,15,-14,-113,-57,-36,8,-201
-24,-1,-27,-50,-31,-27,-37,-30,-227
10,6,-5,-10,-70,-26,-41,-18,-154
-41,-11,-25,-113,-72,-40,-54,13,-343
-34,-41,-36,-89,-53,-49,-50,7,-345
-21,-9,-23,-45,-46,-24,-16,3,-181
-18,8,-20,-46,-51,6,-26,6,-141
11,3,-5,-13,-10,-16,-13,-9,-52
-42,-18,-44,-65,-82,-56,-57,-41,-405
-29,11,-29,-64,-45,-34,-33,-5,-228
-5,8,-42,-53,-75,-16,-45,-25,-253
-31,-6,-28,-74,-39,-31,-41,-16,-266
7,6,-37,-62,-109,-24,-78,-21,-318
16,34,-10,-12,-33,-17,-30,50,-2
40,21,-8,-62,-124,-78,-52,-2,-265
55,75,30,-28,-108,-60,-51,57,-30
-8,0,-11,-58,-52,-26,7,1,-147
-12,-5,-5,-38,-28,-1,-21,12,-98
-3,1,-32,-83,-99,-72,-40,-3,-331
-23,-8,-26,-58,-43,-25,-20,0,-203
2,5,-26,-41,-108,-23,-43,-12,-246
-1,45,-12,-57,-12,-24,-35,25,-71
-18,8,-43,-49,-56,-21,-32,-21,-232
-19,4,-27,-43,-20,-25,-25,13,-142
13,20,-35,-61,-65,-59,-86,9,-264
7,21,11,-20,-57,-15,-58,19,-92
-33,2,-16,-64,-48,0,-31,14,-176
-13,7,-33,-126,-159,-111,-122,-15,-572
-19,-28,-6,-23,-64,-60,-44,-23,-267
4,2,2,-26,-16,-9,-1,12,-32
-31,-12,-26,-32,-56,5,-21,53,-120
-23,-21,-28,-40,-36,-11,-22,-8,-189
28,7,-7,-3,-22,-20,-26,20,-23
-35,-5,-45,-153,-171,-74,-66,18,-531
-18,-8,-17,-60,-70,-44,-34,-10,-261
28,24,-4,16,-36,-23,-42,21,-16
-10,0,-23,-99,-116,-35,-60,13,-330
-18,20,-59,-112,-58,-72,-75,-47,-421
22,14,0,-34,-73,-46,-32,-21,-170
-25,-16,-24,-59,-34,-17,-16,21,-170
-24,2,-12,-59,-62,-36,-42,31,-202
50,29,25,46,-44,-27,-35,35,79
-5,7,0,-28,-41,-40,-46,-8,-161
90,83,21,47,-53,-9,-62,63,180
13,0,-22,-26,-63,-45,-52,-27,-222
-56,-31,-90,-170,-115,-55,-75,-49,-641
-1,14,-42,-77,-134,-49,-72,-19,-380
31,25,-14,-64,-112,-62,-61,1,-256
-6,-1,2,-26,-44,-7,-4,5,-81
2,11,-11,-38,-38,-37,-29,-12,-152
3,-25,-12,-8,-138,-29,-49,-3,-261
-19,61,-79,-213,-227,-87,-164,-20,-748
-14,-36,-5,-34,-129,-21,-66,-8,-313
10,-1,-16,-18,-76,-42,-33,-3,-179
-1,10,-7,-66,-108,-18,-64,-3,-257
-3,12,-7,-50,-59,-30,-31,-3,-171
-8,-20,-10,-13,-63,-45,-37,-16,-212
32,-24,-40,27,-41,-29,-42,24,-93
13,7,4,-37,-61,-40,-34,4,-144
-4,8,-24,-97,-127,-58,-60,-46,-408
20,21,-5,-30,-62,-22,-33,-12,-123
12,-14,-7,-8,-104,-58,-39,1,-217
-26,-6,-43,-84,-76,-32,-38,-19,-324
-11,-7,-9,-30,-40,-21,-18,9,-127
-11,-2,-4,-33,-22,-4,-19,30,-65
-20,28,-12,-76,-55,-10,-38,63,-120
-3,-4,-20,-38,-72,-30,-29,-15,-211
1,-15,-28,-57,-120,-37,-60,-27,-343
42,-22,-11,16,-119,-56,-62,-9,-221
-6,-18,1,-32,-51,-29,-20,-15,-170
-28,-9,-52,-109,-97,-18,-42,-18,-373
-6,12,-26,-78,-52,-50,-49,4,-245
-4,-7,-34,-63,-99,-46,-64,-42,-359
-13,8,-15,-31,-50,-12,-25,16,-122
3,17,-10,-21,-64,-24,-38,-22,-159
-29,30,-13,-96,-62,-29,-10,21,-188
-28,13,-23,-71,-63,-50,-53,-46,-321
-15,8,-24,-43,-35,-28,-23,-18,-178
-44,-7,-63,-95,-55,-42,-40,9,-337
-13,4,-19,-25,-21,-37,-39,-18,-168
-15,31,-52,-155,-75,-115,-103,78,-406
-36,-22,-40,-50,-71,-22,-45,-11,-297
-19,-44,-43,-150,-202,-134,-120,-83,-795
-28,2,-25,-77,-111,-61,-76,-5,-381
19,8,-12,-60,-104,-98,-62,-33,-342
-5,0,-10,-49,-41,-43,-33,-36,-217
0,15,-12,-28,-43,-26,-25,4,-115
-4,7,-34,-34,-72,-47,-46,-2,-232
-67,12,-60,-115,-59,-25,-54,-9,-377
-21,-1,-30,-84,-87,-42,-50,9,-306
-10,15,-16,-44,-34,-20,-38,-10,-157
-24,-23,-15,-54,-70,-19,-31,0,-236
-45,-7,-56,-190,-164,-86,-86,-43,-677
-38,-8,-23,-50,-9,-10,-13,1,-150
-5,15,-12,-45,-41,-59,-45,-49,-241
-18,-4,-34,-53,-35,-23,-35,-23,-225
-1,3,-4,-49,-100,-52,-56,3,-256
-51,-28,-35,-106,-66,-35,-57,0,-378
37,20,-13,-9,-32,-35,-36,-41,-109
-28,15,-21,-57,-60,-22,-47,-11,-231
-24,-79,-41,-115,-113,-72,-100,-9,-553
-29,13,-36,-89,-70,-59,-59,-28,-357
-19,11,-39,-62,-67,-9,-45,0,-230
21,0,-3,-16,-44,-8,-21,-26,-97
-4,-17,-27,-51,-105,-80,-84,-32,-400
-10,1,-1,-52,-42,-14,-24,4,-138
-47,-24,-46,-105,-92,-76,-68,-47,-505
-21,-22,-45,-50,-49,-17,-39,9,-234
-51,9,-50,-115,-69,-32,-65,-18,-391
-10,5,-26,-57,-52,-32,-38,-21,-231
21,13,-27,-48,-63,-39,-16,-1,-160
-14,-14,-2,-50,-62,-22,-40,21,-183
27,25,0,-15,-99,-27,-44,3,-130
8,18,-18,-55,-63,-41,-43,-25,-219
-32,-85,-61,-106,-242,-113,-240,-63,-942
-21,-61,-78,-91,-204,-143,-222,-88,-908
7,-12,-24,-26,-52,-7,-24,-7,-145
-28,15,-33,-65,-39,-6,-34,-2,-192
-11,9,-16,-41,-53,-25,-24,0,-161
-16,-13,-22,-48,-50,-36,-55,-25,-265
-5,-10,-13,-31,-26,-4,-16,26,-79
24,-7,-21,-51,-167,-102,-61,-32,-417
15,-10,2,-9,-33,-37,-21,-21,-114
-22,-7,-40,-58,-32,-24,-41,-6,-230
0,8,-35,-78,-111,-85,-83,-56,-440
7,5,-48,-84,-136,-122,-118,-48,-544
-22,-31,-29,-49,-87,-54,-76,-12,-360
4,-5,4,-77,-152,-37,-88,10,-341
-15,-4,-17,-67,-18,-35,-42,-5,-203
2,1,-6,-13,-58,-31,-36,1,-140
-15,-13,-61,-85,-41,-84,-81,-14,-394
-12,-11,-13,-15,-38,-1,-16,11,-95
-11,6,-34,-34,-18,-23,-21,-1,-136
-6,24,-13,-30,-25,-4,-11,-20,-85
-14,6,6,-41,-22,-8,-13,8,-78
-24,-3,-19,-73,-34,-20,-22,1,-194
-18,2,-30,-86,-72,-59,-55,-24,-342
-37,-30,-33,-106,-126,-55,-70,10,-447
103,40,12,38,-115,-67,-78,39,-28
-30,-23,-28,-63,-77,-38,-36,-20,-315
-15,-24,-34,-70,-110,-63,-58,12,-362
-10,-18,-26,-27,-60,-21,-34,-15,-211
8,13,-9,-16,5,5,-8,-11,-13
-5,26,-15,-56,-5,-11,-8,11,-63
-23,-1,-28,-50,-72,-44,-68,-1,-287
-41,-33,-46,-75,-87,-51,-61,-1,-395
4,27,-11,-50,-34,-47,-31,6,-136
-4,15,-11,-49,-5,-16,-23,6,-87
17,-8,-32,-71,-142,-67,-72,-38,-413
-50,-40,-38,-61,-86,-26,-70,-1,-372
-36,18,-37,-71,-71,-47,-33,-6,-283
-32,-3,5,-43,-44,22,-11,53,-53
72,-7,-10,44,-104,-92,-74,-11,-182
-18,23,-31,-54,-39,-28,-33,-21,-201
0,-8,-3,-22,-45,-26,-22,22,-104
31,-11,-21,-24,-117,-53,-66,-32,-293
-37,55,-65,-109,-33,-75,-86,-23,-373
9,21,-47,-180,-155,-143,-92,-125,-712
-4,-44,-7,-40,-54,3,-30,19,-157
-12,10,-16,-35,-58,-10,-36,27,-130
15,6,-23,-40,-112,-63,-75,-22,-314
-10,16,-23,-61,-60,10,-24,-31,-183
-34,7,-51,-80,-40,-16,-52,15,-251
-5,34,-34,-96,-59,-48,-51,-31,-290
-10,12,7,6,-9,23,-40,31,20
25,-31,-22,12,-151,-57,-66,-18,-308
12,17,-61,-42,-164,-48,-90,0,-376
8,-6,-12,-30,-68,-40,-32,-10,-190
-15,-5,-15,-34,-37,-22,-20,2,-146
-8,-16,-18,-54,-2,-31,-34,-20,-183
-30,-13,-99,-149,-131,-98,-99,-63,-682
17,-11,-5,-55,-138,-51,-53,2,-294
-18,-11,-15,-48,-50,-23,-20,-2,-187
-12,-8,-28,-55,-37,-32,-56,-5,-233
49,19,2,10,-95,5,-27,-5,-42
6,12,-21,-45,-56,-47,-43,12,-182
-8,-3,-1,-29,-41,-3,-5,1,-89
6,18,-11,-32,-78,-24,-46,12,-155
18,-4,-14,-40,-93,-39,-54,-24,-250
3,-11,7,-29,-84,-53,-59,-15,-241
-7,13,-19,-27,-30,-19,-28,8,-109
14,-6,-18,-22,-103,-21,-34,-7,-197
5,-9,-29,-84,-150,-66,-73,-77,-483
-21,-4,-26,-43,-26,-2,-24,-4,-150
5,-18,-32,-72,-111,-85,-54,-37,-404
-2,-4,-29,-43,-86,-38,-52,-7,-261
-31,0,-44,-106,-84,-56,-62,-50,-433
-4,20,-56,-96,-113,-79,-94,-34,-456
2,1,-15,-44,-70,-38,-70,-27,-261
0,58,-18,-90,-126,-80,-87,58,-285
-1,-45,-6,-35,-112,-80,-52,-35,-366
-1,11,-33,-101,-127,-118,-106,-74,-549
0,-6,-26,-50,-63,-41,-50,11,-225
-43,-29,-46,-97,-88,-54,-70,2,-425
-22,-2,-9,-57,-17,-16,-16,-13,-152
-23,-6,-46,-154,-249,-91,-121,-6,-696
-38,23,-8,-93,-58,-42,-49,-1,-266
44,-8,8,-23,-125,-53,-58,-19,-234
53,-30,28,-46,-224,-83,-133,-17,-452
23,-16,-12,-42,-108,-74,-77,-56,-362
19,47,-12,-34,-48,32,-9,88,83
-33,50,-69,-125,-86,-104,-91,-49,-507
-43,25,-37,-124,-26,-68,-49,-20,-342
7,-25,-28,-48,-170,-65,-83,-16,-428
16,3,-6,-48,-133,-82,-53,-10,-313
-56,-3,-51,-139,-153,-92,-89,-48,-631
19,7,-22,-22,-77,-30,-35,-30,-190
-10,-7,-10,-55,-86,-20,-39,0,-227
-25,-8,-19,-64,-49,-38,-39,-1,-243
-9,3,-25,-41,-49,-28,-30,-24,-203
13,49,7,-54,-171,-27,-48,90,-141
-5,24,-29,-40,-39,-22,-38,30,-119
2,5,-20,-65,-27,-45,-21,-7,-178
-9,-31,-7,-36,-60,-30,-18,-14,-205
-12,-11,-25,-36,-52,-28,-29,-43,-236
-15,16,-8,-47,-27,-4,-7,1,-91
9,15,0,-44,-119,-51,-99,7,-282
-19,7,-13,-21,-21,-12,-10,13,-76
-30,4,-19,-64,-62,-47,-57,-36,-311
-14,-22,-41,-49,-108,-14,-50,-28,-326
-20,2,-55,-140,-72,-99,-56,-32,-472
7,6,13,-28,-111,-56,-53,2,-220
-43,22,-65,-154,-90,-38,-74,-55,-497
-9,-37,-30,-61,-123,-86,-54,-29,-429
31,-9,-19,-20,-116,-31,-70,0,-234
-38,-41,-66,-136,-157,-85,-92,-46,-661
-6,29,-27,-59,-47,-21,-25,-27,-183
-12,4,-20,-46,-63,-34,-44,-12,-227
-26,17,-40,-42,-12,-2,-27,7,-125
21,14,-6,6,-89,-39,-61,-28,-182
3,3,-37,-59,-52,-62,-45,-28,-277
-1,-13,-7,-24,-95,-28,-38,13,-193
15,8,-28,-69,-87,-97,-62,-52,-372
3,27,-2,-34,-43,-43,-39,-13,-144
13,28,-36,-65,-51,-72,-60,-55,-298
21,-36,-5,-7,-62,-52,-83,-60,-284
-17,-11,-26,-101,-226,-108,-134,-80,-703
-20,6,-16,-62,-15,-26,-30,-13,-176
15,-9,-4,-13,-11,12,-6,15,-1
3,14,-27,-55,-98,-45,-32,-23,-263
-29,-12,-20,-74,-42,-24,-18,-13,-232
24,25,-3,7,-74,-13,-14,51,3
10,-1,7,-7,-53,-13,-24,21,-60
-12,-3,4,-20,-33,-15,-26,11,-94
-1,-1,3,-36,-78,-38,-35,11,-175
9,14,3,-38,-13,-1,-30,21,-35
-8,-33,-13,-30,-124,-39,-65,-14,-326
-9,9,-15,-30,-99,-40,-70,-8,-262
1,28,-17,-81,-63,-9,-46,31,-156
4,-10,-10,-37,-53,-14,-22,12,-130
15,0,-34,-38,-75,-60,-51,-47,-290
-24,-12,-24,-47,-92,-41,-43,3,-280
39,-3,2,1,-116,-50,-50,-22,-199
23,28,-45,-49,-63,-90,-69,-52,-317
21,-18,-43,-65,-171,-105,-117,-21,-519
32,10,9,-63,-119,-94,-51,-32,-308
-37,-4,-16,-62,-67,-20,-38,13,-231
-14,-7,-67,-106,-56,-65,-66,-5,-386
-4,8,-37,-91,-73,-54,-61,-47,-359
-43,-19,-25,-52,-61,-29,-47,-8,-284
-18,-7,-20,-51,-18,-31,-16,2,-159
-5,33,-3,-16,-41,14,-25,-4,-47
6,12,-15,-52,-92,-61,-54,-19,-275
-31,-3,-13,-53,-34,-15,-29,14,-164
8,-19,-18,-47,-113,-67,-63,-29,-348
-46,-13,-105,-238,-159,-148,-143,41,-811
0,12,-5,-59,-121,-55,-64,-15,-307
-4,2,-14,-105,-166,-84,-97,-50,-518
2,15,-12,-16,-32,-18,-14,12,-63
-28,-13,-25,-124,-206,-95,-108,19,-580
41,-11,-30,-36,-132,-104,-77,-34,-383
-81,-44,-105,-150,-115,-96,-148,-56,-795
25,42,3,14,-37,-36,-53,27,-15
12,-2,-18,-110,-237,-128,-111,-47,-641
5,2,-16,-32,-27,-2,-12,28,-54
-36,-4,-27,-58,-38,-15,-26,12,-192
-43,-28,-66,-86,-128,-69,-149,-35,-604
16,27,5,-4,-75,-1,-49,45,-36
-2,-2,-7,-39,-39,-16,-24,20,-109
9,-5,-32,-64,-118,-95,-90,-50,-445
-9,13,-19,-56,-35,-53,-46,-3,-208
-2,26,-25,-90,-91,-43,-36,-23,-284
-5,11,-17,-29,-11,-15,-15,19,-62
-26,-45,-30,-28,-45,-27,-56,-2,-259
3,17,-35,-33,-4,1,-11,25,-37
-12,-14,-21,-55,-59,-18,-22,5,-196
-9,-8,-19,-44,-56,-30,-26,2,-190
3,-11,-14,-57,-121,-79,-64,-45,-388
23,21,0,-7,-42,39,-7,43,70
-15,-12,-47,-92,-139,-83,-92,-36,-516
9,2,-18,-22,-67,-41,-48,-17,-202
-8,4,-1,-31,-62,-36,-38,-26,-198
0,6,-19,-33,-58,-16,-31,55,-96
10,-3,-10,-3,-7,0,-8,-3,-24
41,27,12,30,-170,-22,-44,5,-121
4,5,-1,-13,-23,27,-18,14,-5
-3,-11,-29,-58,-111,-58,-81,-35,-386
16,-19,-15,-65,-111,-55,-54,-41,-344
17,-15,-23,-30,-97,-75,-59,-43,-325
8,-2,-31,-44,-54,-53,-49,-21,-246
-10,-30,-6,-63,-67,-61,-43,-20,-300
-12,18,-2,-51,-31,-5,-1,36,-48
-23,59,-57,-103,-49,-13,-44,-4,-234
-21,-14,-22,-31,-41,-9,-21,-4,-163
8,16,-22,-17,-27,11,-11,26,-16
32,6,11,-8,-94,-48,-61,-13,-175
-16,15,-39,-55,-70,-27,-22,-8,-222
42,30,-31,-77,-139,-128,-100,-66,-469
22,47,-1,-51,-63,-31,-29,38,-68
15,-3,-16,-36,-109,-43,-49,-38,-279
-30,-12,-52,-101,-82,-57,-63,-23,-420
-9,15,-4,-17,-33,-16,-14,11,-67
-15,-14,-22,-32,-69,-15,-33,-16,-216
26,23,2,-20,-9,-21,-40,-5,-44
-5,13,-9,-35,-28,-7,-3,36,-38
-29,-13,-63,-109,-137,-34,-115,-28,-528
-23,0,-34,-56,-48,-40,-46,-22,-269
49,26,-48,-82,-151,-153,-141,-119,-619
-14,-2,-24,-95,-132,-44,-67,20,-358
42,-43,-10,-98,-242,-152,-136,-55,-694
-10,7,8,-18,-59,-39,-17,6,-122
-9,-42,-15,-17,-99,-34,-54,-12,-282
14,41,-14,-71,-83,-13,-63,-54,-243
-22,-16,-23,-60,-61,-43,-52,-22,-299
-7,29,-5,-41,-45,0,-9,7,-71
23,-6,-24,-38,-154,-103,-70,-70,-442
38,37,18,-38,-138,-42,-70,3,-192
101,68,41,66,-23,40,-5,115,403
-3,-2,-17,-17,-76,-4,-28,-1,-148
-19,3,-23,-52,-35,-40,-27,-19,-212
-23,6,-33,-47,-33,-40,-41,6,-205
-2,3,-10,-28,-77,-40,-62,-16,-232
7,-32,-44,-68,-84,-62,-99,-44,-426
-5,-1,-17,-32,-21,-8,-20,-4,-108
-4,10,-5,-18,-41,-33,-18,4,-105
8,-16,-19,-54,-123,-55,-56,-44,-359
-5,17,-21,-32,-29,-4,-20,-8,-102
-115,-45,-125,-274,-224,-56,-124,-34,-997
-9,-4,-19,-33,-25,-8,-18,0,-116
9,-12,-18,-18,-92,-65,-21,-44,-261
-5,-27,-20,-29,-51,-34,-38,-4,-208
21,42,5,3,-29,-5,0,-12,25
-1,9,-3,-14,-75,-31,-48,6,-157
-39,-25,-35,-119,-91,-38,-69,-2,-418
8,-10,-31,-39,-49,-52,-64,-46,-283
-25,-15,-25,-64,-86,-34,-55,-22,-326
11,2,-50,-68,-118,-78,-85,-45,-431
-19,-6,0,-66,-62,-18,-49,-22,-242
1,67,-44,-123,-63,-80,-78,-2,-322
31,29,-23,-52,-148,-82,-73,-64,-382
14,-10,-18,-31,-63,-35,-50,3,-190
-12,-12,-31,-57,-75,-62,-69,-39,-357
-11,10,-26,-50,-51,-27,-40,-8,-203
-27,-6,-23,-51,-48,-21,-47,6,-217
16,13,-23,-70,-114,-78,-90,-37,-383
-4,1,-4,-37,-43,-38,-23,-8,-156
0,-7,-35,-106,-185,-87,-101,-12,-533
-15,-4,-20,-56,-58,-29,-30,-7,-219
7,-7,-49,-100,-94,-100,-80,-52,-475
39,16,-14,-59,-94,-35,-77,49,-175
2,19,-7,-100,-221,-110,-121,-80,-618
-22,4,-25,-65,-61,-31,-63,-17,-280
-19,1,-51,-81,-102,-79,-84,-76,-491
-21,6,-38,-105,-68,-57,-60,-13,-356
-38,-2,-49,-79,-98,-56,-65,-6,-393
-8,0,-42,-55,-69,-61,-66,-60,-361
-33,-5,-20,-56,-35,-21,-30,-14,-214
39,-9,-9,-161,-299,-163,-149,-34,-785
3,1,-7,-19,-52,-3,-13,-3,-93
17,-42,-13,-14,-129,-55,-57,-18,-311
2,25,-14,-29,-8,-9,-35,7,-61
30,26,6,23,-36,1,-36,68,82
-37,-29,-35,-70,-45,-46,-66,-3,-331
14,2,7,-8,-63,-50,-44,-6,-148
22,37,-20,-107,-43,-75,-26,-15,-227
-7,24,-35,-65,-48,-60,-50,-24,-265
140,82,-7,-38,-143,-38,-159,136,-27
-19,19,-48,-61,-75,-62,-57,-2,-305
25,-4,1,-16,-46,-44,-12,8,-88
-25,-25,-31,-76,-67,-38,-40,-29,-331
-28,4,-25,-49,-31,-10,-31,-12,-182
-14,-27,-23,-54,-80,-43,-42,-20,-303
34,14,20,-39,-183,-136,-77,-33,-400
26,47,-9,-47,-93,-45,-54,2,-173
-21,-1,-34,-58,-45,-15,-41,-14,-229
-3,-14,-9,-29,-51,-30,-32,-23,-191
-21,-27,-32,-61,-35,-30,-32,-31,-269
-15,2,-18,-23,-37,-12,-31,21,-113
-20,-5,-21,-40,-34,-23,-28,-12,-183
-26,-8,-41,-65,-84,-29,-60,3,-310
6,-42,-46,-62,-123,-110,-86,-32,-495
-17,6,-17,-75,-43,-44,-25,-25,-240
1,13,-18,-67,-59,-50,-66,-23,-269
9,-5,-4,-18,-69,-45,-32,-22,-186
-31,9,-43,-64,-45,-30,-45,-36,-285
-19,-6,1,-48,-44,-42,-26,3,-181
1,30,-23,-56,-45,-45,-35,12,-161
1,-2,-7,-54,-40,-26,-17,-9,-154
-19,6,-24,-45,-35,-34,-45,1,-195
-14,-15,-26,-45,-159,-57,-76,-31,-423
24,28,-25,-48,-86,-40,-54,-25,-226
16,24,6,-39,-52,-16,-37,-1,-99
-29,-29,-37,-73,-111,-37,-69,-23,-408
-11,13,-33,-102,-64,-64,-51,-41,-353
-14,6,-73,-178,-184,-112,-129,-45,-729
39,27,2,28,-68,-53,-40,12,-53
39,20,-27,-51,-85,-65,-44,-55,-268
41,19,-19,-41,-94,-77,-68,-88,-327
57,-35,-8,-46,-156,-101,-123,-42,-454
16,-14,-33,-43,-173,-99,-70,-68,-484
-3,-29,-44,-88,-148,-120,-68,-56,-556
-12,1,-32,-97,-124,-77,-90,32,-399
-8,-4,-10,-53,-79,-45,-21,-18,-238
-20,17,-60,-99,-76,-71,-99,-45,-453
-29,-35,-23,-86,-102,-53,-61,-27,-416
15,10,-11,-46,-71,-31,-39,-37,-210
22,21,-29,-78,-91,-62,-71,-44,-332
-3,-9,-20,-56,-86,-59,-48,-14,-295
12,-23,-39,-80,-140,-55,-79,-41,-445
-15,4,-8,-41,-56,-23,-31,0,-170
49,19,-5,-59,-137,-111,-62,-69,-375
37,8,-46,-114,-191,-130,-138,-57,-631
17,-8,-28,-25,-25,-28,-31,-22,-150
-8,-17,-32,-61,-87,-70,-73,-59,-407
47,13,9,30,-100,-34,-51,-15,-101
-3,-7,-33,-50,-52,-36,-33,-25,-239
63,-29,24,26,-60,-7,-59,46,4
-8,-6,-2,-38,-28,-9,1,16,-74
-4,3,-16,-35,-20,-10,-25,23,-84
20,-3,4,2,-28,-25,-28,60,2
66,74,9,8,-94,-59,-33,-18,-47
24,15,-42,-123,-150,-117,-90,-87,-570
-3,5,-66,-122,-119,-110,-107,-50,-572
-20,20,-51,-88,-62,-31,-70,-38,-340
-27,-3,-18,-56,-39,-5,-15,0,-163
24,1,-17,-51,-107,-81,-76,-51,-358
-7,0,-22,-50,-60,-17,-22,-7,-185
-7,-11,-22,-29,-75,-18,-42,11,-193
-30,-26,-22,-49,-48,-18,-46,-18,-257
-23,11,-38,-80,-27,-17,-54,-26,-254
-11,17,-7,-58,-63,-48,-39,-21,-230
31,12,-29,-86,-107,-97,-72,-103,-451
