protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
9,9,-26,-33,-35,-57,-8,48,-93
10,-7,-51,-9,-80,-86,-23,42,-204
19,31,-6,-20,-53,-82,-12,60,-63
31,8,-35,-34,-107,-80,7,63,-147
26,-6,-57,-33,-120,-88,-37,95,-220
26,3,-33,-13,-39,-35,18,25,-48
23,7,-55,-4,-89,-86,-6,47,-163
14,15,-14,-16,-18,-34,11,44,2
21,7,-47,-38,-99,-133,-18,66,-241
22,4,-42,0,-66,-74,2,33,-121
74,-20,-75,-20,-162,-129,1,53,-278
-3,29,-56,-37,-100,-81,-23,90,-181
12,-5,-48,-8,-97,-67,-2,57,-158
-6,15,-86,-26,-167,-9,33,113,-133
11,9,-21,-18,-30,-9,-3,30,-31
36,7,-49,-61,-96,-132,-2,62,-235
-23,10,-47,-52,-107,-45,-4,85,-183
-11,-14,-13,-7,-56,-60,-18,45,-134
7,8,-51,-21,-110,-41,2,71,-135
-12,25,-75,-61,-119,-67,-4,60,-253
-7,-25,-32,-22,-38,-23,-20,28,-139
6,-21,-58,15,-168,-61,-19,114,-192
36,12,-71,-31,-163,-128,-27,75,-297
11,59,-127,-142,-155,-235,-43,162,-470
26,-10,-57,-32,-57,-53,4,31,-148
-3,7,-25,-33,-34,-20,-4,9,-103
17,16,-89,-40,-137,-72,-10,85,-230
29,-13,20,-10,-67,-77,-52,49,-121
26,-2,-50,-34,-87,-70,-16,59,-174
0,28,-79,-42,-141,-56,-1,105,-186
14,19,-13,-25,-44,-60,-1,53,-57
76,22,-66,-13,-170,-113,31,107,-126
-4,-1,-32,-37,-71,-60,-22,64,-163
20,3,-10,-16,-48,-92,-9,38,-114
50,49,28,48,-83,-40,-51,105,106
14,8,-20,-16,-49,-93,-21,50,-127
12,10,-10,11,-6,-11,-9,24,21
35,8,-42,-31,-93,-76,-20,94,-125
15,-7,-26,-30,-63,-42,-19,28,-144
42,4,-10,-11,-69,-109,-2,102,-53
-3,0,-36,-13,-51,-23,0,26,-100
-4,-3,-42,-32,-64,-42,-19,7,-199
7,-25,-58,-15,-132,-71,-14,59,-249
8,9,-31,-27,-40,-42,-3,36,-90
-24,-29,-46,-34,-114,-109,-26,57,-325
16,13,-27,-26,-60,-35,10,58,-51
2,-16,-45,-13,-113,-82,17,62,-188
-1,22,-37,-8,-58,-46,1,43,-84
1,3,-42,-17,-34,-48,-16,17,-136
14,3,-37,-32,-57,-17,6,41,-79
15,-8,-48,-4,-82,-65,-29,42,-179
-13,22,-68,-7,-125,-97,-22,63,-247
12,5,-13,-22,-29,-42,4,14,-71
-3,31,6,-14,-10,-15,-10,30,15
36,36,-23,-37,-14,-68,-1,118,47
-5,-18,-75,-54,-122,-53,7,33,-287
42,21,-77,-25,-122,-21,10,70,-102
42,-7,-24,-25,-84,-66,4,57,-103
-5,8,-23,-5,-26,-49,-10,34,-76
15,9,-33,-5,-56,-29,-6,7,-98
20,24,-7,-38,-60,-72,-1,113,-21
9,-11,-13,-44,-37,-76,-17,51,-138
-3,-1,-27,-20,-30,-24,-2,28,-79
-11,7,-46,-41,-59,-12,-7,32,-137
20,11,-7,-6,-10,-25,3,31,17
-1,-11,-47,-32,-57,-81,-37,10,-256
7,25,-31,-32,-42,-37,-14,56,-68
11,1,-59,-5,-76,-55,-24,40,-167
10,8,-33,-16,-49,-56,-10,48,-98
-13,7,-61,-8,-127,-46,-33,66,-215
21,18,-29,-7,-51,-18,6,65,5
31,32,-40,-12,-140,-70,1,82,-116
103,32,-17,20,-176,-89,-25,171,19
19,40,-23,-25,-27,-35,37,57,43
12,18,-12,-22,-6,-25,5,40,10
20,3,-25,-22,-87,-84,-10,92,-113
1,7,-8,-45,-14,-56,-25,33,-107
-3,-3,-59,-24,-110,-22,-6,50,-177
36,51,-19,-8,-55,-57,13,97,58
-18,6,-16,-19,-68,-38,-35,35,-153
13,10,-24,-19,-25,-38,-10,48,-45
28,12,-27,-1,-86,-110,-58,55,-187
2,10,12,3,-54,-19,-9,51,-4
9,21,-49,-47,-39,-35,14,49,-77
6,22,-78,-25,-196,-91,-14,93,-283
18,-14,-21,-11,-47,-67,8,22,-112
24,14,-5,-4,-41,-45,13,45,1
2,4,-30,-25,-72,-2,16,49,-58
10,-14,-26,-27,-16,-35,-8,24,-92
16,-2,1,17,-40,-30,-23,46,-15
26,69,-63,-88,-135,-87,17,147,-114
-7,-2,-32,-38,-66,-56,-7,36,-172
34,-2,-18,28,-47,-40,-13,38,-20
0,37,-43,-70,-94,-59,-8,74,-163
-11,24,-45,-35,-62,-94,-28,54,-197
14,2,-25,-15,-60,-46,11,28,-91
17,-4,-17,-37,-23,-50,-6,52,-68
-7,12,-9,-30,-74,-38,-11,67,-90
19,14,-7,55,-87,-6,7,63,58
21,5,-20,13,-60,-46,-5,28,-64
44,45,3,80,-138,-21,-26,122,109
16,18,-15,-3,-42,-55,-17,34,-64
10,32,-100,-98,-65,-173,-17,61,-350
13,5,-73,-56,-106,-72,8,43,-238
42,55,-55,-44,-120,-88,7,93,-110
16,14,-34,-12,-24,-13,18,27,-8
6,12,-5,-16,-20,-44,4,30,-33
37,3,-56,-14,-122,-67,12,64,-143
-2,62,-140,-79,-251,-164,22,180,-372
0,-26,-64,-38,-149,-48,-3,32,-296
16,10,-14,-8,-60,-30,-3,48,-41
10,17,-53,-30,-117,-42,-10,75,-150
2,11,-21,-30,-42,-35,-9,33,-91
15,-17,-26,-25,-36,-49,-5,3,-140
47,-35,-29,45,-82,-99,-31,83,-101
20,12,-35,-13,-74,-43,24,66,-43
-13,27,-38,-52,-104,-75,-21,65,-211
11,23,-5,10,-57,-26,3,37,-4
15,1,-25,-13,-62,-38,8,23,-91
18,18,-54,-33,-29,-85,-8,39,-134
9,11,-19,-14,-39,-32,18,27,-39
7,17,-8,-17,-21,-18,4,37,1
9,14,-25,-26,-79,-33,-18,92,-66
-9,-2,-22,-13,-58,-27,-11,16,-126
13,-20,-74,-16,-139,-57,0,56,-237
38,-19,-42,-8,-103,-80,-3,50,-167
22,-7,-24,-24,-34,-29,8,16,-72
17,-6,-58,-42,-99,-66,-32,81,-205
10,8,-32,-27,-74,-77,-14,56,-150
-13,1,-62,-27,-114,-68,0,34,-249
-12,2,-52,-23,-46,-27,0,27,-131
16,35,-22,-1,-55,-32,3,33,-23
11,48,-42,-40,-59,-20,39,69,6
1,39,-42,-37,-62,-38,-6,16,-129
13,17,-15,-16,-34,-48,-16,33,-66
1,8,-46,-60,-24,-89,-10,63,-157
12,14,-17,-10,-32,-59,-11,20,-83
43,-17,-23,-30,-137,-165,-77,203,-203
-10,-13,-44,-35,-51,-79,-32,37,-227
52,58,-77,-76,-150,-130,3,86,-234
-4,15,-68,-34,-125,-79,3,69,-223
24,36,-24,-22,-87,-63,4,56,-76
32,29,-22,-1,-38,-54,8,29,-17
7,14,-20,-16,-39,-29,-7,41,-49
25,17,-54,-17,-74,-43,-11,66,-91
-1,10,-24,-53,-54,-78,-56,52,-204
16,26,-12,-34,-63,-71,-7,55,-90
16,15,-20,6,-34,-48,-3,41,-27
-6,-15,-31,-35,-37,-76,-9,36,-173
5,42,-103,-101,-109,-115,18,60,-303
11,16,-12,-34,-13,-28,-1,47,-14
10,23,-13,-10,-26,-54,-10,12,-68
22,11,-23,-17,-12,-71,-24,31,-83
-6,-6,-29,-24,-88,-56,1,58,-150
22,6,-35,-52,-37,-121,-38,64,-191
34,42,-17,16,-23,-52,24,51,75
-4,25,-51,-18,-52,-65,-3,47,-121
16,-49,-42,-96,-39,-153,-45,48,-360
-11,24,-39,-31,-49,-67,-15,43,-145
-14,18,-34,-8,-69,-22,-7,69,-67
15,-2,-26,3,-25,-23,5,17,-36
14,-9,-63,-14,-113,-90,4,50,-221
-3,17,-12,-23,-20,-6,2,27,-18
21,4,-50,-56,-69,-121,5,57,-209
17,4,-16,-14,-35,-59,-10,58,-55
-21,37,-53,-32,-60,-87,-1,74,-143
7,19,-46,-33,-45,-49,-1,33,-115
36,14,-39,-25,-84,-64,24,77,-61
6,-7,-16,-33,-49,-36,2,36,-97
1,13,-31,11,-91,-21,3,59,-56
13,10,-24,-19,-60,-47,-2,41,-88
-79,-77,-53,-10,-173,-203,-117,156,-556
-50,-94,-71,6,-151,-247,-116,155,-568
30,-6,-61,-4,-63,-46,17,55,-78
-7,7,-26,-24,-47,-36,-16,41,-108
15,11,-31,-28,-55,-57,-13,25,-133
25,11,-17,-15,-67,-77,-27,40,-127
15,-2,-24,-16,-37,-21,0,37,-48
13,-7,-46,-31,-125,-102,-18,47,-269
17,-6,-17,10,-38,-29,3,21,-39
2,-8,-6,-12,-38,-50,-15,85,-42
31,19,-59,-14,-111,-105,8,45,-186
9,13,-70,-4,-103,-126,-15,82,-214
26,-20,-31,-39,-53,-115,-45,55,-222
42,17,-43,-13,-157,-91,39,156,-50
18,12,7,-17,-17,-46,-9,61,9
16,-2,-26,8,-51,-40,-15,40,-70
20,12,-48,-31,-56,-114,-13,107,-123
-5,9,-28,-25,-33,-26,9,13,-86
0,-4,-15,2,-35,-50,-20,42,-80
30,29,-30,-10,-13,-41,16,34,15
-3,27,-1,-30,-41,6,14,40,12
-8,13,-22,-47,-40,-38,-4,37,-109
-3,22,-23,-24,-49,-52,-1,57,-73
-6,33,-69,-89,-91,-58,-1,64,-217
73,4,-31,64,-160,-117,-65,122,-110
7,-11,-39,-50,-53,-52,-13,19,-192
23,-23,-44,-57,-108,-78,-31,63,-255
9,-10,-38,-13,-45,-48,-9,25,-129
13,36,14,2,-14,9,-3,22,79
9,30,-9,-19,-6,-30,2,54,31
-12,7,-35,-25,-60,-57,-12,36,-158
25,12,-76,-53,-51,-75,-11,62,-167
7,40,10,5,-25,-27,-4,54,60
14,22,-15,-16,-31,-26,13,59,20
12,-15,-60,-28,-107,-57,8,37,-210
-39,-36,-62,-42,-54,-52,-12,30,-267
11,20,-44,-20,-64,-51,-10,70,-88
-5,1,1,-43,-55,9,13,50,-29
80,-45,-21,39,-115,-138,-48,64,-184
1,35,-22,-13,-33,-52,-22,32,-74
22,-6,-19,-14,-28,-42,-1,29,-59
30,23,-40,-31,-64,-76,-5,33,-130
54,85,-42,-22,-52,-126,-5,77,-31
15,84,-41,-64,-73,-163,5,59,-178
-15,-17,-49,-45,-65,-28,-2,46,-175
6,2,-17,-18,-50,-42,-9,46,-82
33,18,-44,2,-107,-76,-2,43,-133
7,23,-45,-25,-63,-34,-4,13,-128
-6,0,-47,-27,-44,-62,-5,76,-115
4,57,-29,-13,-57,-63,-9,76,-34
-4,2,7,13,-10,1,-9,48,48
30,-44,-68,-3,-147,-89,-20,43,-298
86,-14,-102,-26,-189,-142,-52,79,-360
5,10,-32,-5,-46,-34,2,38,-62
12,5,-17,-16,-43,-22,6,25,-50
20,6,-8,-22,-28,-41,-19,38,-54
66,34,-83,-45,-122,-235,-50,135,-300
35,41,-38,-39,-110,-54,5,104,-56
1,10,-14,-35,-42,-33,9,31,-73
11,13,-29,-28,-14,-79,-3,36,-93
27,8,-43,32,-103,-13,9,45,-38
24,21,-31,-31,-31,-87,-13,88,-60
6,0,-23,-20,-38,-1,17,19,-40
3,9,-19,-17,-89,-30,-27,56,-114
-3,-4,-43,-15,-95,-62,-4,46,-180
6,-4,-3,-13,-53,-35,-20,22,-100
10,22,-16,-11,-15,-23,4,32,3
3,-12,-71,3,-118,-53,-1,51,-198
21,14,-88,-45,-129,-97,0,15,-309
3,9,-33,-18,-35,-33,-1,27,-81
17,4,-58,-39,-67,-86,7,38,-184
3,2,-36,3,-92,-63,-14,60,-137
-24,16,-59,-42,-69,-74,-23,25,-250
17,35,-46,-30,-112,-107,-39,77,-205
16,10,-13,-37,-29,-77,-33,40,-123
47,71,-42,-24,-137,-64,-7,183,27
21,-33,-32,-27,-56,-117,-17,29,-232
42,35,-66,1,-122,-96,11,83,-112
12,11,-23,-24,-74,-53,-11,54,-108
11,-10,-45,-58,-91,-113,-16,60,-262
16,19,-31,-4,-36,-36,7,49,-16
32,40,-129,-86,-201,-150,10,137,-347
22,61,-14,-35,-39,-76,-2,88,5
54,-3,-19,3,-130,-84,3,75,-101
47,-24,-78,-41,-190,-133,32,117,-270
9,-8,-60,-20,-102,-67,-12,22,-238
58,31,-26,-44,-93,-18,-6,111,13
4,92,12,-27,-55,-80,-20,121,47
-2,63,-6,-33,-4,-109,-12,52,-51
22,-19,-85,-50,-147,-87,-9,52,-323
17,14,-48,-42,-105,-70,8,60,-166
-23,23,-92,-98,-98,-95,-12,51,-344
59,22,-64,25,-95,-62,21,67,-27
4,5,-38,-28,-64,-35,0,41,-115
-5,0,-21,-38,-53,-35,-9,37,-124
12,14,-36,-27,-39,-50,-6,28,-104
27,39,-71,-18,-202,-55,26,184,-70
21,11,-35,2,-47,-40,-9,52,-45
20,36,-19,-17,-9,-40,13,55,39
15,-5,-25,-29,-58,-37,-2,35,-106
0,-8,-31,-14,-35,-39,-21,7,-141
9,39,-24,-19,-24,-13,12,40,20
26,20,-61,-33,-130,-63,14,63,-164
15,12,-11,-4,-20,-15,1,41,19
-7,9,-38,-40,-60,-52,-7,30,-165
-1,-22,-85,-43,-123,-62,-25,33,-328
16,19,-21,-40,-56,-138,-9,84,-145
36,21,-11,-17,-115,-57,15,53,-75
-23,41,-66,-40,-80,-85,-26,50,-229
5,-21,-29,-24,-102,-78,-21,44,-226
32,3,-57,-7,-142,-65,18,75,-143
25,-1,-70,-66,-136,-148,-40,79,-357
14,15,-46,-7,-40,-49,-4,40,-77
0,2,-27,-16,-38,-35,-13,41,-86
-2,24,-33,-21,-13,-41,-11,31,-66
16,2,-49,14,-86,-62,14,50,-101
26,34,-32,-18,-31,-72,1,53,-39
38,-5,-51,-12,-95,-38,11,50,-102
30,27,-27,-20,-78,-80,5,39,-104
31,30,-7,-10,-36,-68,11,45,-4
19,51,-27,9,-72,-90,-17,47,-80
57,-9,-44,1,-67,-96,29,31,-98
5,-8,-92,-32,-221,-138,-3,114,-375
2,27,-2,-9,-16,-40,1,59,22
44,1,3,-12,-27,-26,-7,50,26
20,18,-40,-6,-129,-64,10,91,-100
14,20,-53,-28,-49,-50,20,44,-82
4,9,-18,35,-111,0,35,96,50
14,27,8,3,-33,-6,13,56,82
6,-4,-5,-11,-13,-29,-1,24,-33
11,8,-15,-24,-57,-41,7,36,-75
-4,16,1,-4,-42,-13,1,73,28
-2,-30,-63,-12,-90,-45,-7,38,-211
10,4,-58,-12,-102,-56,-3,39,-178
27,25,-55,-44,-84,-30,-3,75,-89
-1,16,-25,-20,-33,-10,11,38,-24
21,1,-20,0,-71,-85,-14,46,-122
-5,-22,-34,-31,-81,-26,9,42,-148
0,-8,-49,15,-115,-45,13,42,-147
34,51,-28,-20,-40,-95,-36,43,-91
51,1,-81,-23,-208,-129,-5,117,-277
16,18,-33,-19,-88,-73,6,49,-124
-6,10,-33,-32,-73,-33,-1,37,-131
54,18,-45,-50,-109,-144,-36,116,-196
3,1,-26,-29,-79,-117,-6,67,-186
-17,-9,-27,-31,-50,-34,-17,38,-147
3,31,-22,-16,-23,-43,6,54,-10
-7,19,-14,-19,-37,11,-7,23,-31
3,7,-32,-23,-71,-70,-8,64,-130
18,11,-28,-24,-37,-38,-1,54,-45
31,26,-52,-40,-91,-85,1,26,-184
68,25,-42,-93,-142,-222,-64,218,-252
-22,-1,-41,-34,-90,-40,-17,41,-204
23,31,-52,-41,-150,-98,-14,69,-232
23,20,-35,-14,-39,-42,-12,26,-73
51,28,-81,-95,-123,-94,11,107,-196
53,3,-69,14,-167,-106,1,117,-154
-80,-42,-59,-52,-73,-163,-104,52,-521
-3,30,-9,50,-95,-8,-5,89,49
8,28,-53,-61,-200,-134,-16,148,-280
30,8,-2,-35,-11,-53,-2,44,-21
4,21,-21,-41,-26,-21,9,35,-40
-82,-51,-71,-5,-108,-128,-63,63,-445
35,10,9,1,-76,-29,-4,101,47
32,24,-15,-17,-51,-39,-10,56,-20
53,26,-54,-15,-114,-120,6,72,-146
5,18,-7,-13,-26,-44,-10,36,-41
11,37,-59,-5,-81,-38,21,67,-47
5,18,-17,-13,-18,-15,-3,29,-14
-11,-32,-45,-23,-30,-62,-20,29,-194
42,21,-12,-3,-46,-45,-22,68,3
-2,-9,-45,-31,-41,-44,-5,21,-156
0,3,-32,-36,-31,-38,3,21,-110
32,-3,-37,-24,-98,-97,-30,39,-218
16,26,-29,-9,-57,18,22,59,46
-12,-19,-74,-34,-141,-125,-13,94,-324
17,5,-35,-5,-50,-62,5,23,-102
14,-8,-37,-6,-61,-43,13,16,-112
15,5,-45,-22,-82,-47,-10,72,-114
23,8,-23,-2,-35,-22,-4,31,-24
66,26,-68,20,-165,-21,-9,120,-31
4,14,-6,-5,-24,3,-1,41,26
-8,-3,-48,-3,-114,-57,-16,67,-182
6,-4,-38,-22,-95,-66,7,43,-169
25,-15,-62,-6,-91,-96,-8,20,-233
12,-1,-42,8,-82,-84,-17,47,-159
22,-2,-35,-41,-58,-56,5,35,-130
15,38,-20,-37,-35,-3,13,56,27
49,67,-71,-32,-89,-69,-21,88,-78
-1,-5,-31,-17,-18,-32,-7,12,-99
17,7,-21,-3,-63,-19,-11,62,-31
36,-2,-52,11,-126,-49,11,43,-128
-10,0,-45,-41,-56,-45,0,38,-159
53,47,-38,-20,-108,-148,-37,56,-195
23,48,-37,-17,-67,-14,18,92,46
5,-12,-57,-7,-109,-78,-5,56,-207
-7,8,-45,-37,-61,-71,-4,44,-173
0,18,-4,4,-39,-17,12,35,9
11,8,-37,-35,-35,-42,-6,24,-112
63,32,-26,23,-64,-51,10,33,20
-8,21,-13,-17,-34,3,12,48,12
43,-5,-67,-27,-211,-135,-41,151,-292
-21,-3,-39,-25,-46,-44,-22,17,-183
42,45,-68,-8,-138,-162,-26,59,-256
22,15,-67,-51,-109,-71,-11,87,-185
77,-14,-86,-31,-224,-189,18,77,-372
14,18,-10,-18,-36,-21,7,31,-15
9,-24,-56,-31,-84,-73,15,25,-219
16,47,-42,-9,-72,-47,-7,44,-70
5,7,-28,-35,-44,-65,-18,19,-159
-2,40,-37,-23,-35,17,29,48,37
28,-11,-62,-7,-143,-94,-19,38,-270
18,0,-20,-8,-153,-46,-2,97,-114
73,31,8,72,-110,4,-14,155,219
-5,-20,-34,-7,-75,-26,-14,23,-158
5,19,-25,-20,-25,-48,-7,23,-78
0,7,-14,-21,-42,-55,-26,47,-104
10,-5,-36,3,-87,-40,-32,28,-159
-39,-52,-29,9,-69,-103,-51,45,-289
19,13,-30,1,-39,-35,-8,41,-38
12,15,-13,-15,-21,-25,10,43,6
8,-12,-29,-10,-106,-59,-1,71,-138
-6,22,-25,-8,-20,-12,7,23,-19
12,4,-177,-143,-208,-214,-37,104,-659
19,6,-17,-24,-20,-47,-8,20,-71
41,4,-45,-18,-99,-96,-4,41,-176
16,-20,-26,-2,-51,-49,-9,33,-108
31,14,-23,4,-56,-19,-9,36,-22
14,-2,-19,-12,-61,-43,-14,44,-93
21,13,-32,-50,-86,-91,-37,90,-172
16,11,-20,-1,-25,-86,-15,25,-95
9,-11,-49,-34,-92,-64,-33,46,-228
39,17,-58,1,-120,-113,-13,97,-150
4,5,-18,-21,-43,-43,-1,36,-81
28,78,-42,-24,-75,-95,0,150,20
6,2,-62,-13,-134,-100,-16,64,-253
2,16,-25,-19,-37,-39,-2,55,-49
13,4,-31,3,-81,-82,-15,53,-136
1,15,-27,-14,-55,-31,-8,39,-80
-25,17,-10,-30,-43,-12,-15,61,-57
13,25,-36,-25,-116,-87,-9,70,-165
9,7,-11,-33,-16,-35,1,6,-72
21,29,-89,-59,-169,-78,-2,103,-244
0,-15,-39,-29,-46,-58,-15,26,-176
56,53,-43,-9,-92,-103,-1,80,-59
71,11,-7,-11,-95,-96,-30,113,-44
-1,21,-84,-40,-207,-121,12,106,-314
12,16,-37,-22,-64,-79,-29,27,-176
10,10,-66,-15,-90,-106,-23,49,-231
41,19,-29,-39,-83,-92,-28,73,-138
1,-3,-74,-45,-72,-72,-23,68,-220
-7,-3,-36,-22,-57,-84,-21,24,-206
-10,3,-22,-31,-28,-36,-12,0,-136
16,12,-118,-70,-277,-148,-15,160,-440
10,2,-31,-13,-42,-18,2,15,-75
28,-23,-59,-25,-102,-62,-1,46,-198
8,22,-12,-16,-13,-36,-15,25,-37
19,7,-14,15,-80,-13,-19,60,-25
-10,2,-18,-26,-47,-63,-11,68,-105
12,4,-1,-10,-46,-54,-10,42,-63
50,92,5,-22,-13,-45,42,104,213
-5,24,-27,-29,-53,-58,-20,34,-134
114,38,-28,55,-228,-123,-80,274,22
13,6,-28,-33,-59,-100,-25,69,-157
18,-4,0,-3,-35,-39,-1,31,-33
0,-2,-29,-34,-60,-77,-25,38,-189
-4,15,-38,-22,-31,-31,-8,23,-96
1,-4,-34,-36,-78,-56,-10,40,-177
50,7,-48,-21,-150,-100,25,66,-171
10,44,-28,-7,-111,-33,2,78,-45
8,-1,-28,-33,-35,-39,-6,27,-107
5,0,-33,-21,-40,-48,0,4,-133
8,-1,-32,-12,-34,-72,-20,45,-118
11,8,-33,-22,-31,-36,-14,42,-75
10,11,-23,-24,-25,-33,-8,11,-81
-8,-5,-40,-52,-66,-50,-25,44,-202
22,-19,-54,-13,-121,-133,4,63,-251
10,36,1,-20,-25,-55,4,44,-5
20,14,10,-5,-52,-70,-14,63,-34
22,5,-6,-7,-44,-38,0,32,-36
8,21,-23,-13,-45,-68,-16,25,-111
-7,3,-6,-30,-27,-26,-8,31,-70
34,27,-27,-2,-72,-59,-3,66,-36
6,5,-10,-28,-8,-40,3,35,-37
1,22,-25,-15,-39,-44,-13,58,-55
32,-18,-56,-34,-135,-79,-21,52,-259
21,30,-62,-1,-111,-62,6,68,-111
20,8,-14,-17,-41,-41,8,37,-40
2,-33,-82,-43,-110,-75,-29,37,-333
12,39,-15,-27,-29,-102,-17,70,-69
46,24,-76,-40,-164,-182,-10,120,-282
51,5,-27,37,-98,-50,-9,78,-13
8,15,-43,-5,-82,-70,3,35,-139
11,9,-48,0,-83,-87,2,50,-146
98,-22,-42,-25,-99,-146,-34,93,-177
-6,-13,-73,-12,-134,-115,-11,24,-340
39,39,-42,-48,-92,-112,-24,43,-197
12,-10,-45,-34,-112,-109,-28,100,-226
0,3,-30,-40,-47,-33,4,5,-138
14,40,-44,4,-92,-112,-28,55,-163
-4,-9,-45,-68,-56,-93,-3,26,-252
-1,13,-31,-10,-55,-44,14,19,-95
12,46,-48,-14,-87,-76,-7,36,-138
2,-4,-14,-20,-79,-76,-11,53,-149
-5,-19,-92,-20,-135,-74,20,60,-265
6,-3,-24,-31,-51,-31,-9,23,-120
23,19,-52,-10,-145,-92,15,47,-195
36,25,-67,11,-205,-147,-33,143,-237
21,-4,-28,0,-27,-70,-1,45,-64
41,14,-38,-25,-55,-110,-12,50,-135
46,-8,-34,44,-102,-71,-11,62,-74
47,8,-30,-4,-55,-61,-14,44,-65
65,-16,-5,1,-64,-65,-5,69,-20
21,19,-11,-22,-34,-2,16,41,28
9,11,-12,-17,-29,-42,-3,48,-35
84,15,7,-29,25,-69,-18,71,86
27,32,-20,56,-98,-36,-1,71,31
11,28,-62,-44,-126,-132,20,72,-233
17,17,-35,-29,-115,-140,-41,75,-251
2,21,-36,-22,-58,-90,-42,30,-195
-9,5,-34,-33,-26,-25,-8,27,-103
26,4,-46,-3,-103,-93,-10,46,-179
-14,0,-27,-30,-43,-29,-13,16,-140
11,-23,-34,-5,-81,-41,-20,41,-152
-5,-15,-31,-24,-52,-58,-30,4,-211
56,52,-50,1,-41,-95,-4,59,-22
10,24,-13,-28,-49,-38,-3,37,-60
38,33,-51,-21,-96,-121,-7,32,-193
26,-1,-13,-10,-34,-4,2,40,6
17,22,-57,-21,-127,-131,8,85,-204
23,29,-7,-8,-37,-28,-2,44,14
43,-14,-16,-43,-57,-55,-36,100,-78
11,44,-35,-6,-56,-82,-11,45,-90
-6,22,-26,-27,-34,-26,5,39,-53
0,38,-66,-91,-117,-86,6,84,-232
24,14,-13,-19,-41,-36,9,40,-22
-11,0,-37,-43,-46,-48,-8,24,-169
19,22,-20,-46,-40,-65,-27,66,-91
-13,24,-18,-14,-25,-10,1,44,-11
13,6,-15,5,-51,-42,-11,28,-67
-9,-9,-43,-32,-83,-56,-20,46,-206
3,7,-27,-24,-49,-44,-20,43,-111
-12,36,-69,-45,-77,-46,-11,89,-135
-2,5,-29,-8,-32,-39,-4,29,-80
20,1,-40,-23,-89,-79,0,39,-171
-8,33,-37,-27,-58,-44,-24,51,-114
17,24,-41,13,-80,-86,-13,41,-125
-2,18,-20,-14,-48,-27,-4,46,-51
11,7,-39,-15,-26,-53,-2,40,-77
-16,-9,-19,-59,-6,-72,-25,57,-149
-7,33,-49,-51,-72,-73,0,61,-158
29,23,-52,-67,-100,-108,-15,137,-153
17,-2,-57,-27,-38,-64,-3,45,-129
-14,14,-53,-16,-76,-65,6,35,-169
-9,33,-46,-51,-77,-85,-11,57,-189
44,17,-47,-10,-61,-93,2,58,-90
4,9,-22,-31,-14,-23,-9,21,-65
-8,1,-50,-62,-56,-18,8,55,-130
-9,-10,-25,-44,1,-61,1,34,-113
21,21,-10,-39,-10,-28,-9,43,-11
-2,-3,-68,-33,-66,-54,-7,15,-218
5,9,-25,10,-51,-22,3,50,-21
64,69,16,-25,-10,27,28,102,271
15,26,-8,-27,-32,-25,18,38,5
12,9,-26,-27,-35,-17,-2,22,-64
42,25,-2,-4,-42,-11,15,16,39
